"","klasifikasi","score","text"
"1","Negatif",-1,"eiffel    hera   guys figure    problem    okay now hera  officer eif "
"2","Positif",1," just absolutely incredible  lego reuses pieces   designs   new eiffel tower model  couldnt fin"
"3","Netral",0,"   really want eiffel radio edit"
"4","Netral",0,"theres  eiffel tower remarked curfoot "
"5","Netral",0,"theres  eiffel tower remarked curfoot "
"6","Positif",1,"ready stock tas eiffel harga rb minat follow twitter bicarain dm "
"7","Positif",2,"eiffel excellence scholarship monthly  masters monthly  phd national amp internation "
"8","Netral",0," saw   can buy  lego eiffel tower  time  christmas  supposed    large t "
"9","Netral",0,"    eiffel tower  phallus  "
"10","Netral",0," theory     made  arrangement  silicon world  eiffel   light tweaks    "
"11","Positif",2," iconic status    already done great work    rose   occasion  "
"12","Negatif",-2,"  racist towards french people retweet  kill  eiffel tower"
"13","Netral",0,"karl  wanna see  happened   eiffel tower   im gonna yknow theres gonna  repercussions"
"14","Netral",0," way  need   eiffel tower  bro "
"15","Netral",0," blood everywhere settlement  scores  pakistani street vendors   eiffel tower last night"
"16","Positif",1,"  know    emoji  released  amazing foot tall eiffel tower set   weekend"
"17","Netral",0," went  paris one time saw  eiffel tower wasnt sure     cell"
"18","Positif",1,"ive    top   eiffel tower many  time "
"19","Positif",1," oh wow youre  paris didnt know  eiffel tower   small tho uu"
"20","Netral",0," made  way along  river  sat    grass   eiffel tower    happy   met    age   regret"
"21","Positif",1,"ready  visit  eiffel tower "
"22","Negatif",-5,"stupid ship stupid protocols stupid minkowski sorry eiffel   final act    pain   ass "
"23","Netral",0,"just posted  photo hotel la comtesse paris tour eiffel "
"24","Netral",0,"theres  eiffel tower remarked curfoot "
"25","Netral",0,"eiffel   "
"26","Netral",0,"theres  eiffel tower remarked curfoot "
"27","Positif",1,"climb   top  eiffel tower   want  birds eyeview  paris "
"28","Netral",0," almost   fooking cold bar coughing   sorts  fooking weeks im much better thanks j "
"29","Negatif",-1," aint   ones  got maize  blue   god damned eiffel tower"
"30","Netral",0,"take   paris kiss    tour eiffel "
"31","Netral",0,"read      intrepid reporter perched high   tour eiffel "
"32","Negatif",-1,"instead   eiffel tower itsthe trifle tower thats funny s son leo hunter  "
"33","Positif",1,"listening  kehlani  top   eiffel tower rn wyd"
"34","Positif",1,"  beatles  eiffel  love  "
"35","Positif",2,"go   top   eiffel tower narian stay strong "
"36","Negatif",-1,"marie eiffel  andrea stern  inviting   celebrate december  holidays  die firma gallery december "
"37","Netral",0," can  build  eiffel tower"
"38","Netral",0,"theres  eiffel tower remarked curfoot "
"39","Positif",1,"listening  kehlani  top   eiffel tower rn wyd"
"40","Positif",1,"  brother loves  peed    eiffel tower      wilderness ju "
"41","Netral",0,"theres  eiffel tower remarked curfoot "
"42","Netral",0," sense  sensibility "
"43","Netral",0,"   many rats   please stay     bring rat traps  youre going   eiffel tower "
"44","Positif",1,"   much better time capsule   music scene    original    day"
"45","Positif",1," love band aid "
"46","Negatif",-1," dont get  wrong"
"47","Positif",2," episodes available  watch now  free  tptv encore "
"48","Positif",2,"  uplifting tv will  everyone good "
"49","Netral",0,"  much coffee  fresh socialization anxiety    eiffel tower cries"
"50","Netral",0,"eiffel   "
"51","Netral",0,"theres  eiffel tower remarked curfoot "
"52","Netral",0," eiffel truth "
"53","Negatif",-1," eiffel   burning ring  fire"
"54","Netral",0,"can chamber  deadeye eiffel tower "
"55","Netral",0,"   moving around  newly build eiffel tower    moved  titanic  tower got hit  crumbled im h "
"56","Netral",0,"recently minted artwork  snowx tower deer amp whiskey  eiffel tower flock  deer making moonshine whiskey"
"57","Netral",0,"theres  eiffel tower remarked curfoot "
"58","Netral",0," maybe yall eiffel tower  "
"59","Netral",0,"cyber sale  amp shipping "
"60","Netral",0,"theres  eiffel tower remarked curfoot "
"61","Negatif",-1,"  dont instigate im saving money   buying maybe eiffel tower  lego "
"62","Netral",0,"eiffel  also played   keeping score  home"
"63","Netral",0,"theres  eiffel tower remarked curfoot "
"64","Netral",0,"    eiffel tower couse  fell     jump   cliff tbh    good way"
"65","Netral",0,"eiffel  law   law one "
"66","Negatif",-1," eiffel tower  still  dumb ass "
"67","Positif",1,"paris travel photoshootsolo street photographyla tour eiffel sunny chic "
"68","Netral",0,"theres  eiffel tower remarked curfoot "
"69","Positif",1,"confirmed exo will  performing love shot   group   first time    upcoming smtown live concert"
"70","Negatif",-1,"  build  rooftop water tank   shape   teletubby  go   effort  installing  re "
