"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","EIFFEL: What about you Hera? Did you guys figure out what the problem was? Are you okay now? 
HERA: No, Officer Eif… https://t.co/0TbxuEZFVs",FALSE,0,NA,2022-11-28 12:19:49,TRUE,NA,"1597203610210689025",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","sevebooks",0,FALSE,FALSE,NA,NA
"2","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-28 12:17:13,FALSE,NA,"1597202953114619904",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EmojiManNow",1745,TRUE,FALSE,NA,NA
"3","- All I Really Want (Eiffel 65 Radio Edit)",FALSE,0,NA,2022-11-28 12:15:22,FALSE,NA,"1597202488507211777",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Converge Downtown</a>","ConvergeDownto1",0,FALSE,FALSE,NA,NA
"4","“There’s the Eiffel Tower,” remarked Curfoot.      https://t.co/hq1YkMmmzW",FALSE,0,NA,2022-11-28 12:14:27,FALSE,NA,"1597202256624988165",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SusanKi31951146",0,FALSE,FALSE,NA,NA
"5","“There’s the Eiffel Tower,” remarked Curfoot.      https://t.co/uRFwTHHX6Z",FALSE,0,NA,2022-11-28 12:12:52,FALSE,NA,"1597201860682661888",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Crystal00322610",0,FALSE,FALSE,NA,NA
"6","Ready Stock , Tas Eiffel Harga 130rb minat? Follow Twitter , bicarain dm :) https://t.co/S8tA91oK1Z",FALSE,0,NA,2022-11-28 12:10:08,FALSE,NA,"1597201170267017216",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","LuckShop_",0,FALSE,FALSE,NA,NA
"7","Eiffel Excellence Scholarship 2023-24
👉Monthly €1,181 for Masters.
👉Monthly €1,700 for PhD.
👉National &amp; Internation… https://t.co/Qehv8Oa6QQ",FALSE,0,NA,2022-11-28 12:08:44,TRUE,NA,"1597200820583673856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IndopakScholars",0,FALSE,FALSE,NA,NA
"8","@WYP_JBradfield Saw that you can buy a Lego Eiffel Tower in time for Christmas. 
It's supposed to be very large.  T… https://t.co/ybQScytccS",FALSE,0,"WYP_JBradfield",2022-11-28 12:06:02,TRUE,"1597164311847129088","1597200137616433152","809911429520388096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","myke4116",0,FALSE,FALSE,NA,NA
"9","@imageplotter @gehapeters Is it the Eiffel tower, a phallus or both?",FALSE,0,"imageplotter",2022-11-28 12:05:08,FALSE,"1597163888776126464","1597199911690588160","351092521","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ernie1968",0,FALSE,FALSE,NA,NA
"10","RT @itspatthemovie: my theory is that if you made an arrangement of ""silicon world"" by eiffel 65 with some light tweaks here and there and…",FALSE,0,NA,2022-11-28 12:04:53,FALSE,NA,"1597199848238772224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Rich_Uzumaki",1,TRUE,FALSE,NA,NA
"11","The iconic status of the #EiffelTower has already done great work for #Paris2024 and it rose to the occasion again… https://t.co/1eJFugX9ff",FALSE,0,NA,2022-11-28 12:03:14,TRUE,NA,"1597199434563158017",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","insidethegames",0,FALSE,FALSE,NA,NA
"12","RT @pukicho: I am racist towards French people. retweet to kill the Eiffel tower",FALSE,0,NA,2022-11-28 12:02:29,FALSE,NA,"1597199246037782529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wormhola",8013,TRUE,FALSE,NA,NA
